input_index,orig_root,orig_stem,orig_leaf,orig_fruit,orig_fruit_margin,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
21,1.609848,1.647095,1.512108,1.353082,-0.2940130000000001,6.763704776763916,6.97827672958374,6.963459491729736,9.584613800048828,2.606337070465088,111,165,165
22,1.480056,1.49144,1.383002,1.273249,-0.21819100000000002,0.160185307264328,0.18028151988983154,0.13863536715507507,1.98661208152771,1.8063305616378784,118,165,165
23,1.069834,1.058392,0.969158,0.870656,-0.19917799999999997,3.0057735443115234,2.9598124027252197,2.820668935775757,4.76430606842041,1.7585325241088867,121,165,165
24,2.313238,2.37887,2.221071,2.28084,-0.09803000000000006,4.718705654144287,4.582264423370361,4.491100311279297,6.754572868347168,2.035867214202881,111,165,165
25,1.28498,1.222362,1.069862,1.034561,-0.25041899999999995,5.408177375793457,5.440644264221191,5.286370277404785,7.691923141479492,2.251278877258301,109,165,165
26,0.804922,0.772004,0.697337,0.648008,-0.156914,7.431774139404297,7.361948013305664,7.132700443267822,9.29946231842041,1.8676881790161133,109,165,165
27,1.477817,1.494454,1.388796,1.235492,-0.2589619999999999,0.995354413986206,1.0628349781036377,1.1258814334869385,2.7839999198913574,1.658118486404419,112,165,165
28,4.022033,4.150196,3.975477,3.917985,-0.2322110000000004,9.534817695617676,9.689657211303711,9.614813804626465,12.281314849853516,2.5916576385498047,117,165,165
29,1.543167,1.547334,1.466838,1.440746,-0.1065879999999999,7.137761116027832,7.330142974853516,7.113290786743164,9.986583709716797,2.6564407348632812,119,165,165
30,2.959578,3.102675,2.922736,2.922306,-0.18036900000000022,5.868514060974121,5.9980974197387695,5.909700870513916,7.660876274108887,1.6627788543701172,102,165,165
31,1.208136,1.1889,1.068266,0.966219,-0.24191700000000005,7.57735013961792,7.677192687988281,7.531988620758057,9.333586692810059,1.6563940048217773,115,165,165
32,1.511841,1.503442,1.374814,1.24889,-0.26295099999999993,7.488432884216309,7.587466716766357,7.421946048736572,9.39316463470459,1.8056979179382324,116,165,165
33,0.711608,0.661126,0.580285,0.604694,-0.10691400000000006,6.821137428283691,6.964595794677734,6.781256198883057,8.60232162475586,1.637725830078125,96,165,165
34,1.962256,2.022516,1.845414,1.773719,-0.24879699999999993,3.424868583679199,3.5464279651641846,3.5393455028533936,5.6718010902404785,2.125373125076294,112,165,165
35,1.567767,1.582663,1.468167,1.342968,-0.239695,4.699066162109375,4.726640701293945,4.727218151092529,5.953142166137695,1.225924015045166,99,165,165
36,1.094544,1.081403,0.985119,0.937817,-0.15672699999999995,4.458596706390381,4.532157897949219,4.3337602615356445,6.3203887939453125,1.7882308959960938,102,165,165
37,3.864341,4.107117,3.878885,3.665974,-0.44114299999999984,8.407709121704102,8.552303314208984,8.379351615905762,10.755342483520508,2.2030391693115234,104,165,165
38,1.593199,1.534171,1.40894,1.439186,-0.15401299999999996,8.5413179397583,8.70387077331543,8.507832527160645,10.567305564880371,1.8634347915649414,90,165,165
39,2.524249,2.597126,2.48843,2.48766,-0.10946599999999984,0.4536813199520111,0.5961121916770935,0.5749633312225342,2.0476529598236084,1.451540768146515,98,165,165
40,1.75769,1.773299,1.666054,1.598982,-0.17431700000000006,1.528743863105774,1.4233214855194092,1.4943678379058838,4.1126179695129395,2.5838741064071655,115,165,165
41,1.257701,1.271845,1.184351,1.029134,-0.2427109999999999,4.688645362854004,4.7897562980651855,4.7006731033325195,6.114468097686768,1.324711799621582,111,165,165
